url,url_len,dom,dom_len,is_ip,tld,tld_len,subdom_cnt,letter_cnt,digit_cnt,special_cnt,eq_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,entropy,path_len,query_len,label
https://www.rmit.edu.au/,24,rmit.edu.au,11,0,edu.au,6,1,17,0,7,0,0,0,3,0,0,0.708333333,0.0,0.291666667,1,3,3.709147917,1,0,0
http://www.latrobe.edu.au/,26,latrobe.edu.au,14,0,edu.au,6,1,19,0,7,0,0,0,3,0,0,0.730769231,0.0,0.269230769,0,3,3.738149333,1,0,0
https://www.cqu.edu.au/,23,cqu.edu.au,10,0,edu.au,6,1,16,0,7,0,0,0,3,0,0,0.695652174,0.0,0.304347826,1,3,3.609668477,1,0,0
http://bond.edu.au/,19,bond.edu.au,11,0,edu.au,6,0,13,0,6,0,0,0,2,0,0,0.684210526,0.0,0.315789474,0,3,3.576617645,1,0,0
http://www.csu.edu.au/,22,csu.edu.au,10,0,edu.au,6,1,15,0,7,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,3.503997527,1,0,0
http://research.mater.org.au/,29,mater.org.au,12,0,org.au,6,1,22,0,7,0,0,0,3,0,0,0.75862069,0.0,0.24137931,0,3,3.693345219,1,0,0
http://www.hri.org.au/,22,hri.org.au,10,0,org.au,6,1,15,0,7,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,3.538310596,1,0,0
https://www.epipsi.gr/,22,epipsi.gr,9,0,gr,2,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,1,3,3.447401505,1,0,0
http://www.riotinto.com/,24,riotinto.com,12,0,com,3,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.490601563,1,0,0
http://www.arup.com/Global_locations/USA.aspx,45,arup.com,8,0,com,3,1,36,0,9,0,0,0,3,0,1,0.8,0.0,0.2,0,4,4.341310041,26,0,0
http://www.btplc.com/,21,btplc.com,9,0,com,3,1,15,0,6,0,0,0,2,0,0,0.714285714,0.0,0.285714286,0,3,3.427333494,1,0,0
http://www.mater.org.au/,24,mater.org.au,12,0,org.au,6,1,17,0,7,0,0,0,3,0,0,0.708333333,0.0,0.291666667,0,3,3.625814584,1,0,0
https://www.pilkington.com/en-GB/uk,35,pilkington.com,14,0,com,3,1,27,0,8,0,0,0,2,1,0,0.771428571,0.0,0.228571429,1,4,4.207435517,9,0,0
http://www.trojantechnologies.com/,34,trojantechnologies.com,22,0,com,3,1,28,0,6,0,0,0,2,0,0,0.823529412,0.0,0.176470588,0,3,4.043057694,1,0,0
https://www.alfredhealth.org.au/the-alfred,42,alfredhealth.org.au,19,0,org.au,6,1,34,0,8,0,0,0,3,1,0,0.80952381,0.0,0.19047619,1,3,3.96911653,11,0,0
http://www.teck.com/,20,teck.com,8,0,com,3,1,14,0,6,0,0,0,2,0,0,0.7,0.0,0.3,0,3,3.40869497,1,0,0
http://www.hnehealth.nsw.gov.au/Pages/home.aspx,47,nsw.gov.au,10,0,gov.au,6,2,37,0,10,0,0,0,5,0,0,0.787234043,0.0,0.212765957,0,4,4.007162129,16,0,0
https://www.basf.com/en.html,28,basf.com,8,0,com,3,1,21,0,7,0,0,0,3,0,0,0.75,0.0,0.25,1,3,3.913799565,8,0,0
http://www.hypres.com/,22,hypres.com,10,0,com,3,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.663532755,1,0,0
http://www.boystown.org/,24,boystown.org,12,0,org,3,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.573934896,1,0,0
https://www.olympus.com.au/,27,olympus.com.au,14,0,com.au,6,1,20,0,7,0,0,0,3,0,0,0.740740741,0.0,0.259259259,1,3,3.782122224,1,0,0
http://www.ukcoal.com/,22,ukcoal.com,10,0,com,3,1,16,0,6,0,0,0,2,0,0,0.727272727,0.0,0.272727273,0,3,3.663532755,1,0,0
https://www.pik-potsdam.de/,27,pik-potsdam.de,14,0,de,2,1,20,0,7,0,0,0,2,1,0,0.740740741,0.0,0.259259259,1,3,3.828237502,1,0,0
http://www.ite.waw.pl/en/index.php,34,ite.waw.pl,10,0,waw.pl,6,1,25,0,9,0,0,0,4,0,0,0.735294118,0.0,0.264705882,0,4,3.583950621,13,0,0
http://www.ippt.pan.pl/en/,26,pan.pl,6,0,pl,2,2,18,0,8,0,0,0,3,0,0,0.692307692,0.0,0.307692308,0,4,3.320658834,4,0,0
http://embl.org/,16,embl.org,8,0,org,3,0,11,0,5,0,0,0,1,0,0,0.6875,0.0,0.3125,0,3,3.577819531,1,0,0
http://www.psa-peugeot-citroen.com/en,37,psa-peugeot-citroen.com,23,0,com,3,1,29,0,8,0,0,0,2,2,0,0.783783784,0.0,0.216216216,0,3,4.046762825,3,0,0
http://www.lsbu.ac.uk/,22,lsbu.ac.uk,10,0,ac.uk,5,1,15,0,7,0,0,0,3,0,0,0.681818182,0.0,0.318181818,0,3,3.629219687,1,0,0
http://www.rug.nl/,18,rug.nl,6,0,nl,2,1,12,0,6,0,0,0,2,0,0,0.666666667,0.0,0.333333333,0,3,3.419381946,1,0,0
http://www.ptspaper.com/,24,ptspaper.com,12,0,com,3,1,18,0,6,0,0,0,2,0,0,0.75,0.0,0.25,0,3,3.573934896,1,0,0
